trial_type,trial_index,time_elapsed,internal_node_id,subject,hitId,assignmentId,structure_condition,match_condition,noise_type,success,timeout,failed_images,failed_audio,failed_video,view_history,rt,start_time,end_time,stimuli,image1,image2,image3,image4,choiceLocation,choiceImage,choiceEmotion,choiceModel,choice_index,reward_score,reward,reward_score_unadjusted,reward_image,score_after_trial,emotions,models,rewards,rewards_unadjusted,stimulus,response,question_order,file_name,n
pavlovia,0,9,0.0-0.0,p333790,emogo,test_session,model,match,uniform,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_12h09.43.369.csv,206
preload,1,7643,0.0-1.0,p333790,emogo,test_session,model,match,uniform,TRUE,FALSE,[],[],[],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_12h09.43.369.csv,206
instructions,2,11275,0.0-2.0,p333790,emogo,test_session,model,match,uniform,NA,NA,NA,NA,NA,"[{""page_index"":0,""viewing_time"":3631}]",3631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_12h09.43.369.csv,206
explore-choice,3,13605,0.0-3.0,p333790,emogo,test_session,model,match,uniform,NA,NA,NA,NA,NA,NA,1828,12609,14437,"[""stimuli/sheep.jpg"",""stimuli/hammer.jpg"",""stimuli/basketball.jpg"",""stimuli/horse.jpg""]",stimuli/sheep.jpg,stimuli/hammer.jpg,stimuli/basketball.jpg,stimuli/horse.jpg,pos4,stimuli/horse.jpg,NA,NA,3,64,64,64,stimuli/stars_8.png,65,NA,NA,NA,NA,NA,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_12h09.43.369.csv,206
explore-choice,4,15466,0.0-4.0,p333790,emogo,test_session,model,match,uniform,NA,NA,NA,NA,NA,NA,1359,14939,16298,"[""stimuli/hammer.jpg"",""stimuli/basketball.jpg"",""stimuli/horse.jpg"",""stimuli/sheep.jpg""]",stimuli/hammer.jpg,stimuli/basketball.jpg,stimuli/horse.jpg,stimuli/sheep.jpg,pos1,stimuli/hammer.jpg,NA,NA,0,8,8,8,stimuli/stars_2.png,9,NA,NA,NA,NA,NA,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_12h09.43.369.csv,206
instructions,5,28132,0.0-5.0,p333790,emogo,test_session,model,match,uniform,NA,NA,NA,NA,NA,"[{""page_index"":0,""viewing_time"":12666}]",12666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_12h09.43.369.csv,206
explore-choice,6,31074,0.0-6.0,p333790,emogo,test_session,model,match,uniform,NA,NA,NA,NA,NA,NA,2441,29466,31907,"[""stimuli/AF10_HO.jpg"",""stimuli/HF09_SUR.jpg"",""stimuli/HM07_CC.jpg"",""stimuli/BF04_AO.jpg""]",stimuli/AF10_HO.jpg,stimuli/HF09_SUR.jpg,stimuli/HM07_CC.jpg,stimuli/BF04_AO.jpg,pos2,stimuli/HF09_SUR.jpg,SUR,HF09,1,3,6,6,stimuli/stars_6.png,4,"[""HO"",""SUR"",""CC"",""AO""]","[""AF10"",""HF09"",""HM07"",""BF04""]","[3,6,6,3]","[2,6,8,4]",NA,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_12h09.43.369.csv,206
show-reward,7,33080,0.0-7.0,p333790,emogo,test_session,model,match,uniform,NA,NA,NA,NA,NA,NA,NA,32409,34413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,stimuli/stars_6.png,4,NA,NA,NA,NA,stimuli/HF09_SUR.jpg,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_12h09.43.369.csv,206
explore-choice,8,35604,0.0-8.0,p333790,emogo,test_session,model,match,uniform,NA,NA,NA,NA,NA,NA,2021,34414,36435,"[""stimuli/BF04_AO.jpg"",""stimuli/AF10_HO.jpg"",""stimuli/HM07_SUR.jpg"",""stimuli/HF09_CC.jpg""]",stimuli/BF04_AO.jpg,stimuli/AF10_HO.jpg,stimuli/HM07_SUR.jpg,stimuli/HF09_CC.jpg,pos4,stimuli/HF09_CC.jpg,CC,HF09,3,2,4,6,stimuli/stars_4.png,6,"[""AO"",""HO"",""SUR"",""CC""]","[""BF04"",""AF10"",""HM07"",""HF09""]","[3,3,6,4]","[4,2,8,6]",NA,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_12h09.43.369.csv,206
show-reward,9,37607,0.0-9.0,p333790,emogo,test_session,model,match,uniform,NA,NA,NA,NA,NA,NA,NA,36939,38941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,stimuli/stars_4.png,6,NA,NA,NA,NA,stimuli/HF09_CC.jpg,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_12h09.43.369.csv,206
